zip,ZCTA,total,rural,distance_from_shands,median_income,perc_below_poverty,prop_black,prop_hisp
12228,12202,9066,0,1014.342548,27137,31.3,0.630046327,0.1237591
52035,52035,1137,1,1021.924286,55250,5.7,0.001759015,0.020228672
14006,14006,9612,0,913.5797714,57090,9.4,0.004057428,0.013524761
1430,1430,6133,1,1066.717523,85662,8.4,0.011902821,0.00978314
12209,12209,11844,0,1013.733225,58237,23.2,0.272205336,0.074721378
48342,48342,17655,0,897.2094756,19532,51.4,0.603738318,0.140526763
48386,48386,17669,0,897.7272237,72475,5.5,0.027618994,0.019525723
53176,53121,19331,0,963.4726647,59029,7,0.014018933,0.088665873
53121,53121,19331,0,963.4726647,59029,7,0.014018933,0.088665873
49406,49406,799,0,920.7549577,49615,11.1,0,0.002503129
12196,12196,3214,0,1017.625105,97304,2.9,0.00746733,0.014623522
14080,14080,4467,1,920.1561573,60175,10.1,0.000223864,0.013655697
48842,48842,20470,0,903.4408435,52526,10.5,0.057498779,0.05036639
48317,48317,26601,0,896.2133568,53279,11.7,0.040449607,0.02879591
48353,48353,6494,0,898.9298701,73507,5.3,0,0.014936865
48821,48821,5790,0,904.8195224,59403,4.1,0.035924007,0.018480138
48044,48044,54009,0,896.7013022,84449,5.3,0.042955804,0.025032865
1339,1339,1514,1,1037.415691,51908,13.5,0.005284016,0.005284016
83250,83250,1196,1,1877.583084,51050,11.4,0.005016722,0.034280936
12159,12159,7878,0,1011.877398,88844,2.1,0.017009393,0.028560548
52050,52050,767,1,1022.740029,54000,5.6,0,0.007822686
14057,14057,8241,1,916.7503126,63360,5.5,0.000364033,0.010556971
1854,1854,29214,0,1084.564042,42948,22.8,0.058807421,0.210241665
14033,14033,2252,1,919.2678905,84545,6.9,0,0
12229,12208,21417,0,1014.187452,58102,17.4,0.156044264,0.064621562
12208,12208,21417,0,1014.187452,58102,17.4,0.156044264,0.064621562
49058,49058,18988,1,910.3232497,48305,14.4,0.006372446,0.030018959
48327,48327,22870,0,897.4931227,51181,12.6,0.056974202,0.077787495
53599,53599,88,1,988.0815983,31250,22.7,0,0
1812,1810,34251,0,1090.126976,125321,4.4,0.017225774,0.043239613
1899,1810,34251,0,1090.126976,125321,4.4,0.017225774,0.043239613
5544,1810,34251,0,1090.126976,125321,4.4,0.017225774,0.043239613
5501,1810,34251,0,1090.126976,125321,4.4,0.017225774,0.043239613
1810,1810,34251,0,1090.126976,125321,4.4,0.017225774,0.043239613
48328,48328,24698,0,897.2809271,45689,17,0.07445947,0.077698599
50647,50647,1831,1,1057.040704,56536,2.1,0,0
52042,52042,1718,1,1027.585412,49773,17.3,0,0
14082,14082,322,1,923.5650605,45625,2.8,0,0
1343,1343,72,1,1035.343825,81667,0,0,0
12224,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12225,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12223,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12230,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12243,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12244,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12245,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12242,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12233,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12249,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12237,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12252,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12236,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12227,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12256,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12239,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12257,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12234,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12240,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12238,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12235,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12255,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12241,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12247,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12248,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12214,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
12207,12207,1506,0,1015.484166,10848,65.6,0.613545817,0.077025232
83347,83347,3494,1,1958.448972,49861,15.2,0,0.231539782
97497,97497,2076,1,2426.817462,40547,27,0,0.001926782
13832,13832,673,1,970.049898,34550,41.5,0,0.011887073
13155,13155,643,1,968.5950676,42500,18.2,0,0.023328149
13411,13411,3453,1,975.9604982,42019,17.3,0,0.016507385
12210,12210,9147,0,1015.36828,40384,28.2,0.477970919,0.10407784
12231,12210,9147,0,1015.36828,40384,28.2,0.477970919,0.10407784
48836,48836,13843,1,902.3216008,61851,10.2,0.002022683,0.032435166
83230,83276,3946,0,1847.741424,62250,6.6,0,0.021540801
83276,83276,3946,0,1847.741424,62250,6.6,0,0.021540801
13077,13077,6673,0,961.1402459,53203,9.9,0.013487187,0.032519107
13056,13077,6673,0,961.1402459,53203,9.9,0.013487187,0.032519107
1368,1368,1230,1,1060.35041,60568,13,0.002439024,0.015447154
1850,1850,16198,0,1085.780862,51556,17.4,0.08167675,0.219656748
1966,1966,7078,0,1107.931711,70288,5.4,0.015823679,0.021616276
50071,50071,822,1,1088.953368,40592,8.4,0.003649635,0.03892944
14527,14527,12923,1,943.9567917,47519,16.5,0.009131007,0.011220305
13124,13124,109,1,965.9243412,45000,12.8,0,0.04587156
13342,13342,188,1,980.3425305,71667,6.9,0,0
